Player,ano,GPos40,cp1,altura,peso,40yd
Ryan Whalen,2011,g3,19.7041129464886,185.42,91.625584,4.53
Dan Feeney,2017,g1,-27.4749612601341,193.04,138.34556,5.24
Nijrell Eason,2001,g3,20.1443281372373,185.42,91.171992,4.59
Brian Iwuh,2006,g2,6.22953002903597,182.88,106.140528,4.66
Erik Coleman,2004,g3,22.421452887498,177.8,90.7184,4.64
Trent Smith,2003,g2,-0.79392262022205,195.58,110.222856,4.79
Charles Hill,2002,g1,-20.9677725981423,187.96,132.902456,5.06
Dedrick Epps,2010,g2,-2.6508225824545,190.5,113.398,4.7
Ed Reed,2002,g3,21.3689345102454,180.34,91.171992,4.57
Jordan Lomax,2016,g3,21.5410225060007,177.8,91.625584,4.75
Jermaine Phillips,2002,g3,14.4215306575049,185.42,97.068688,4.66
Craig Stevens,2008,g2,-4.41168334544909,190.5,115.212368,4.59
Ty Sambrailo,2015,g1,-31.3408587776341,198.12,141.067112,5.36
Ty Summers,2019,g2,2.5357205072914,185.42,109.315672,4.51
Drew Hodgdon,2005,g1,-28.6235188366247,190.5,140.159928,5.31
Bo Schobel,2004,g2,-13.1199479611842,195.58,122.923432,4.8
Jonathan Pollard,2005,g2,-0.105570637200479,185.42,112.037224,4.68
Juston Burris,2016,g3,15.9142642255062,182.88,96.161504,4.53
Tim Duckworth,2007,g1,-27.3028732643787,190.5,138.799152,5.42
Muhammad Wilkerson,2011,g1,-31.8771131676206,193.04,142.88148,4.96
Derrek Thomas,2019,g3,24.202304053213,190.5,85.728888,4.44
Charles Frederick,2005,g3,24.4504408454859,180.34,87.996848,4.78
T.J. Moe,2013,g3,20.0482889379994,180.34,92.532768,4.74
Salvon Ahmed,2020,g3,23.1297952732399,180.34,89.357624,4.62
Elijah Holyfield,2019,g3,14.937794644771,177.8,98.429464,4.78
Winston Guy,2012,g3,12.6606698945103,185.42,98.883056,4.62
Tyler Marz,2016,g1,-34.1542379178813,200.66,143.335072,5.54
Darian Kinnard,2022,g1,-35.5709226893652,195.58,146.056624,5.31
Brent McCaffrey,2001,g1,-17.3500118729152,193.04,127.912944,5.2
Micah Johnson,2010,g2,-4.9479377354356,185.42,117.026736,4.99
