Player,ano,GPos3CONE,cp1,altura,peso,3Cone
Eric Manning,2003,g10,-24.7576213191247,185.42,137.438376,7.77
Bennie Logan,2013,g10,-28.0112156501206,187.96,140.159928,7.53
Tom Wort,2013,g11,5.78931483828732,182.88,106.59412,7.41
Walter Young,2003,g12,11.9723179114887,195.58,97.068688,6.9
Jack Brewer,2002,g12,23.8381376589818,182.88,87.996848,6.9
Wendell Smallwood,2016,g11,18.8997313615089,177.8,94.347136,6.83
T.J. Hollowell,2004,g11,5.78931483828732,182.88,106.59412,7.14
Bryan Smith,2008,g11,6.32556922827382,187.96,104.779752,7.22
Dontavius Russell,2019,g10,-33.0256707441111,190.5,144.695848,7.81
Lawrence Sidbury,2009,g11,-9.08196244792881,187.96,120.655472,7.46
Clifton Geathers,2010,g11,-26.6705796751544,200.66,135.624008,7.69
Jordan White,2012,g12,17.6751249885008,182.88,94.347136,6.84
David Porter,2003,g10,-31.3408587776341,198.12,141.067112,8.43
Alton Lusk,2000,g12,27.8961135749575,187.96,82.553744,7.16
Taj Smith,2008,g12,26.9196439942224,182.88,84.821704,7.15
Willie Beavers,2016,g10,-35.1307074986165,195.58,145.603032,7.96
Lamont Reid,2005,g12,24.0102256547372,180.34,88.45044,7.18
Victor Adeyanju,2006,g11,-13.8282903469261,193.04,124.284208,7.37
Taylor Dever,2012,g10,-25.0057581113976,195.58,135.170416,7.49
Dwayne Missouri,2001,g11,-7.39715048145176,195.58,117.026736,7.5
Ali Marpet,2015,g10,-28.3553916416314,193.04,139.252744,7.33
Jammie Kirlew,2010,g11,-5.82836811693289,185.42,117.93392,7.5
Connor McGovern,2019,g10,-29.4079100188841,195.58,139.706336,7.66
Devine Redding,2017,g11,21.4449833067629,172.72,92.98636,7.18
Marcell Dareus,2011,g10,-33.0256707441111,190.5,144.695848,7.83
Cameron Stephenson,2007,g10,-27.3028732643787,190.5,138.799152,7.72
Tyler Jones,2019,g10,-27.3028732643787,190.5,138.799152,7.75
Jason Fanaika,2016,g11,-11.283038401672,187.96,122.923432,7.06
Hayden Plinke,2017,g11,-9.4261384394396,193.04,119.748288,7.55
Jeffrey Gunter,2022,g11,-6.78484729494771,193.04,117.026736,7.21
Morgan Moses,2014,g10,-32.66150434988,198.12,142.427888,7.93
Jacquies Smith,2012,g11,-3.97146815470044,190.5,114.758776,7.25
Gary Barnidge,2008,g11,-1.40622580672609,198.12,110.222856,6.92
Donald Strickland,2003,g12,28.1442503672304,177.8,84.821704,6.98
Maurice Jones-Drew,2006,g11,21.1768561117696,170.18,93.893544,7.08
Chris Harrell,2006,g12,17.2349097977521,182.88,94.800728,7.02
Ethan Pocic,2017,g10,-30.9006435868854,198.12,140.61352,7.89
Garrett Graham,2010,g11,0.430683752786034,190.5,110.222856,7.09
Brandon Ghee,2010,g12,24.7185680404791,182.88,87.089664,6.75
Taylor Rapp,2019,g12,17.6751249885008,182.88,94.347136,6.82
Lionel Dotson,2008,g10,-23.5130245433963,193.04,134.263232,7.62
Dwone Hicks,2003,g11,12.7367186910278,177.8,100.697424,7.38
Liam Ezekiel,2005,g11,-0.373697832193728,182.88,112.944408,7.27
Tyler Smith,2022,g10,-36.4513530708624,195.58,146.963808,7.78
Louis Delmas,2009,g12,20.9287193194967,180.34,91.625584,6.67
Zebrie Sanders,2012,g10,-35.3027954943719,198.12,145.14944,8.15
Joe Kruger,2013,g11,-12.8518207661909,198.12,122.016248,7.17
Antonio Garcia,2017,g10,-27.3789220608962,198.12,136.984784,7.98
Stephen Burton,2011,g12,11.3400243222643,185.42,100.243832,7.04
Jarius Wright,2012,g12,30.3453263209737,177.8,82.553744,6.93
Alex Carter,2015,g12,22.9577072774845,182.88,88.904032,7.05
Greg Schindler,2003,g10,-28.9676948281355,195.58,139.252744,8.56
Roy Helu,2011,g11,13.4450610767697,180.34,99.336648,6.67
Phillip Dorsett,2015,g12,29.0246807487277,177.8,83.91452,6.7
Ben Victor,2020,g12,19.6280641499711,193.04,89.811216,7.1
Devon Torrence,2011,g12,21.6370617052386,182.88,90.264808,6.95
A.J. Stamps,2016,g12,24.8906560362345,180.34,87.543256,7.17
Chris Neild,2011,g10,-32.4133675576071,187.96,144.695848,7.56
Robert Blanton,2012,g12,17.0628218019967,185.42,94.347136,6.71
Demario Brown,2000,g11,13.713188271763,182.88,98.429464,7.17
Michael Roos,2005,g10,-35.9150986808759,200.66,145.14944,7.72
Montee Ball,2013,g11,16.258440217017,177.8,97.068688,6.88
DeVier Posey,2012,g12,15.1298730432468,187.96,95.707912,7.03
Damien Berry,2011,g11,17.5790857892629,177.8,95.707912,7
Senquez Golson,2015,g12,33.5989206519696,175.26,79.832192,6.81
Quenton Meeks,2018,g12,17.7711641877386,187.96,92.98636,6.72
Jerick McKinnon,2014,g11,19.0718193572643,175.26,94.800728,6.83
TreDavious White,2017,g12,25.3308712269832,180.34,87.089664,6.9
Anthony Davis,2005,g11,24.2583624470102,170.18,90.7184,7.39
Graig Cooper,2011,g11,20.2203769337548,177.8,92.98636,6.66
Larry Webster,2014,g11,-5.36816252346391,198.12,114.305184,7.29
Cameron Fleming,2014,g10,-36.0111378801138,195.58,146.510216,8.24
Joe Adams,2012,g12,31.0536687067156,180.34,81.192968,7.09
Kevin Bentley,2002,g11,2.26759331229816,182.88,110.222856,6.71
David DeCastro,2012,g10,-32.9296315448733,195.58,143.335072,7.3
Mike Thomas,2009,g12,25.8471352142494,172.72,88.45044,6.65
Kareem Martin,2014,g11,-14.1724663384369,198.12,123.377024,7.2
Mark Harrison,2013,g12,5.71326604176979,190.5,104.779752,6.99
Ben Hamilton,2001,g10,-27.2068340651409,195.58,137.438376,7.62
Dontari Poe,2012,g10,-44.9114808943246,190.5,156.942832,7.9
Kenyatta Walker,2001,g10,-30.72855559113,195.58,141.067112,7.7
Joe Dahl,2016,g10,-27.0347460693855,193.04,137.891968,7.64
Byron Frisch,2000,g11,-16.9097966821666,193.04,127.459352,7.2
Damian Williams,2010,g12,21.9051889002319,185.42,89.357624,6.79
Jamaica Rector,2005,g12,28.5844655579791,177.8,84.368112,6.78
Adam Davis,2000,g10,-29.2358220231287,193.04,140.159928,8.51
Bernard Robertson,2001,g10,-28.183303645876,190.5,139.706336,8.06
Justin Cox,2015,g12,24.5464800447237,185.42,86.636072,7.05
Wyatt Ray,2019,g11,-5.73232891769503,190.5,116.573144,7.34
Josh Scobey,2002,g11,13.8852762675184,180.34,98.883056,6.96
Kroy Biermann,2008,g11,-0.889961819459908,190.5,111.583632,7.08
Jason Hatcher,2006,g11,-19.4550486274206,198.12,128.820128,7.67
Derrius Monroe,2002,g11,-11.6272143931828,193.04,122.016248,7.38
Will Holden,2017,g10,-31.9531619641381,200.66,141.067112,7.71
Tyrone Crawford,2012,g11,-14.2685055376747,193.04,124.7378,7.09
Ben Boulware,2017,g11,4.46866926604138,182.88,107.954896,7.02
Kevin Williams,2003,g11,-27.6470492558895,195.58,137.891968,7.66
Walter Reyes,2005,g11,18.4595161707602,177.8,94.800728,7.23
Jameel McClain,2008,g11,-0.986001018697773,185.42,112.944408,7.12
Marques Harris,2005,g11,6.93787241477786,185.42,104.779752,7.19
Obum Gwacham,2015,g11,-2.11456819246799,195.58,111.583632,7.28
Cedric Thornton,2011,g10,-28.6235188366247,190.5,140.159928,7.7
C.J. Davis,2009,g10,-27.571000459372,187.96,139.706336,8.09
Jordan Cameron,2011,g11,-5.63628971845717,195.58,115.212368,6.82
James Washington,2018,g12,16.0863522212616,180.34,96.615096,7.11
Terrence Cody,2010,g10,-49.0455056068178,193.04,160.571568,8.19
Carlton Powell,2008,g10,-20.5275574073936,187.96,132.448864,7.78
Trey Burton,2014,g12,9.40707556351436,187.96,101.604608,7.14
Michael Pittman,2020,g12,8.62268438125492,193.04,101.151016,6.96
Aaron Maybin,2009,g11,-2.82291057820989,193.04,112.944408,7.52
Armani Watts,2018,g12,19.6080737472508,180.34,92.98636,7.25
Andre Hall,2006,g11,20.1243377345169,172.72,94.347136,7.38
Chris Carter,2011,g11,-0.545785827949126,185.42,112.490816,6.88
Charles Scott,2010,g11,5.08097245254542,180.34,107.954896,6.98
Trayveon Williams,2019,g11,21.0047681160142,172.72,93.439952,7.44
Renard Cox,2000,g12,25.3308712269832,180.34,87.089664,7.1
Cody Wallace,2008,g10,-23.5130245433963,193.04,134.263232,7.45
"Mario Edwards, Jr.",2015,g11,-15.4170631141653,190.5,126.552168,7.44
Deon Long,2015,g12,24.7185680404791,182.88,87.089664,6.98
Noah Brown,2017,g12,10.2875059450116,187.96,100.697424,7.07
Kelvin Smith,2007,g11,2.36363251153601,187.96,108.86208,7.19
James Cowser,2016,g11,-1.7703922009572,190.5,112.490816,6.8
Jamil Demby,2018,g10,-33.6379739306152,193.04,144.695848,7.86
Demetress Bell,2008,g10,-27.2068340651409,195.58,137.438376,7.65
Keyon Whiteside,2003,g11,8.4306059827792,182.88,103.872568,7.32
Derrick Henry,2016,g11,-1.33017701020856,190.5,112.037224,7.2
