Player,ano,GPosBJ,cp1,altura,peso,Broad Jump
Devon Kennard,2014,g8,-2.21060739170585,190.5,112.944408,287.02
David Barrett,2000,g7,22.8616680782467,177.8,90.264808,294.64
Greg Isdaner,2009,g9,-35.666961888603,190.5,147.4174,233.68
Johnny Jolly,2006,g9,-32.1452403626138,190.5,143.788664,264.16
Sean Weatherspoon,2010,g8,3.41615088878869,185.42,108.408488,312.42
Frank Okam,2008,g9,-45.9639992715773,193.04,157.396424,264.16
Jon Baldwin,2011,g7,6.42160842751169,193.04,103.418976,327.66
Asante Samuel,2003,g7,28.4123775622237,180.34,83.91452,304.8
Josh Davis,2005,g7,25.1587832312278,182.88,86.636072,299.72
Kevin Robinson,2008,g7,20.9287193194967,180.34,91.625584,292.1
Jaylen Warren,2022,g8,21.8851984975115,172.72,92.532768,302.26
Johnny Holton,2016,g7,24.9866952354724,185.42,86.18248,312.42
Scott Long,2010,g7,12.9287970895035,187.96,97.975872,312.42
Antwan Applewhite,2007,g8,-2.6508225824545,190.5,113.398,292.1
Eric Steinbach,2003,g9,-25.177846107153,198.12,134.716824,302.26
Marcus Forston,2012,g9,-23.8771909376274,185.42,136.531192,266.7
Justin Senior,2017,g9,-39.532859406103,195.58,150.138952,248.92
Kevin Beard,2004,g7,30.0011503294629,182.88,81.64656,287.02
Justin Britt,2014,g9,-37.5038714481151,198.12,147.4174,254
Mark Setterstrom,2006,g9,-31.4368979768719,193.04,142.427888,254
Joe Thomas,2007,g9,-31.9531619641381,200.66,141.067112,279.4
Nick Leckey,2004,g9,-20.2594302124004,190.5,131.54168,246.38
Chad Nkang,2007,g7,13.0048458860211,180.34,99.79024,299.72
Pierre Strong,2022,g8,18.7276433657535,180.34,93.893544,314.96
Bjoern Werner,2013,g8,-9.69426563443285,190.5,120.655472,281.94
Alec Lemon,2013,g7,19.7041129464886,185.42,91.625584,284.48
J.R. Tolver,2003,g7,19.7041129464886,185.42,91.625584,302.26
Chad Thomas,2018,g8,-18.1344030551747,198.12,127.459352,294.64
Duke Williams,2013,g7,20.4885041287481,180.34,92.079176,320.04
A.J. Brown,2019,g7,9.75125155502514,182.88,102.511792,304.8
Alvin Bowen,2008,g8,10.459593940767,185.42,101.151016,302.26
Anthony McFarland,2020,g8,20.1243377345169,172.72,94.347136,294.64
Rob Morris,2000,g8,-2.03851939595046,187.96,113.398,287.02
Demarcus Christmas,2019,g8,-22.0202909753949,190.5,133.356048,256.54
Andrew Stueber,2022,g9,-38.1161746346192,200.66,147.4174,256.54
D.J. Reader,2016,g9,-36.5473922701003,190.5,148.324584,251.46
D.J. Moore,2009,g7,26.5554775999913,175.26,87.089664,299.72
Paul Toviessi,2001,g8,-8.88988404945309,198.12,117.93392,304.8
Cornelius Brown,2010,g7,22.6895800824913,180.34,89.811216,299.72
Danny Trevathan,2012,g8,4.90888445679002,182.88,107.501304,281.94
Quinn Pitcock,2007,g9,-23.6090637426342,187.96,135.624008,284.48
Shawnbrey McNeal,2010,g8,25.675047218494,175.26,87.996848,297.18
DeeJay Dallas,2020,g8,14.937794644771,177.8,98.429464,302.26
Keith Ellison,2006,g8,5.17701165178327,185.42,106.59412,292.1
Jessie Bates,2018,g7,22.1733160952251,187.96,88.45044,297.18
Brock Vereen,2014,g7,21.6370617052386,182.88,90.264808,297.18
Quentin Jammer,2002,g7,19.4359857514954,182.88,92.532768,314.96
Jaryd Jones-Smith,2018,g9,-33.982149922126,198.12,143.788664,276.86
Trayveon Williams,2019,g8,21.0047681160142,172.72,93.439952,307.34
Travis Bright,2009,g9,-34.5184043121124,193.04,145.603032,274.32
Noah Igbinoghene,2020,g7,23.3018832689953,177.8,89.811216,325.12
Albert Wilson,2014,g7,22.1533256925048,175.26,91.625584,312.42
Ben Kelly,2000,g7,30.5174143167291,175.26,83.007336,294.64
Amari Cooper,2015,g7,15.7421762297508,185.42,95.707912,304.8
Elliot Silvers,2001,g9,-48.2411240218381,200.66,157.850016,251.46
