Player,ano,GPosBench,cp1,altura,peso,Bench
Jake Brendel,2016,g4,-25.9822276921328,190.5,137.438376,25
Lenny Walls,2002,g6,22.269355294463,193.04,87.089664,7
Kentavius Street,2018,g5,-15.2449751184099,187.96,127.00576,28
Kasim Edebali,2014,g5,-3.3591649681964,187.96,114.758776,19
Zach Cunningham,2017,g5,4.39262046952384,190.5,106.140528,15
Joe Mathis,2017,g5,-9.08196244792881,187.96,120.655472,24
Mike Williams,2017,g6,10.8237603349982,193.04,98.883056,15
Austin Collie,2009,g6,20.5845433279859,185.42,90.7184,17
Jordan Jones,2019,g5,5.00492365602788,187.96,106.140528,23
Chris Carter,2010,g6,25.7710864177318,180.34,86.636072,12
Charlie Taumoepeau,2020,g5,2.36363251153601,187.96,108.86208,18
Taveze Calhoun,2016,g6,24.7185680404791,182.88,87.089664,14
Jon McGraw,2002,g6,15.8382154289887,190.5,94.347136,13
Kyzir White,2018,g6,12.9287970895035,187.96,97.975872,21
Keith Miller,2000,g5,0.334644553548169,185.42,111.583632,24
Danny Pinter,2020,g4,-27.9151764508828,193.04,138.799152,24
Jaquan Johnson,2019,g6,26.3833896042359,177.8,86.636072,18
Johnathan Franklin,2013,g6,20.2203769337548,177.8,92.98636,18
Will Fuller,2016,g6,27.359859184971,182.88,84.368112,10
C.J. Ah You,2007,g5,-13.8282903469261,193.04,124.284208,26
Kris Wilson,2004,g5,-1.15808901445316,187.96,112.490816,24
Raheem Brock,2002,g5,-6.34463210419907,193.04,116.573144,25
Andy Kemp,2009,g4,-31.6089859726273,195.58,141.974296,23
Dawan Landry,2006,g6,11.780239513013,185.42,99.79024,18
Cadillac Williams,2005,g6,14.325491458267,180.34,98.429464,19
Markelle Martin,2012,g6,17.5030369927454,185.42,93.893544,19
DeWayne White,2003,g5,-12.1634687831693,187.96,123.830616,22
Pierre Desir,2014,g6,21.4649737094832,185.42,89.811216,11
Cedric Hilliard,2004,g4,-26.5184820821193,185.42,139.252744,26
Kevin Ware,2003,g5,-5.29211372694638,190.5,116.119552,22
Jabari Greer,2004,g6,32.1061870839683,177.8,80.739376,7
Marvin Jones,2012,g6,20.4124553322305,187.96,90.264808,22
Tony Okanlawon,2002,g6,29.0246807487277,177.8,83.91452,16
Amani Oruwariye,2019,g6,17.7711641877386,187.96,92.98636,17
Joe Thomas,2007,g4,-31.9531619641381,200.66,141.067112,28
Isaac Asiata,2017,g4,-34.7865315071057,190.5,146.510216,35
Gabe Marks,2017,g6,26.6515167992291,180.34,85.728888,11
Sherrod Martin,2009,g6,21.4649737094832,185.42,89.811216,12
Joe Jon Finley,2008,g5,-6.24859290496121,198.12,115.212368,22
Colt Lyerla,2014,g5,0.258595757030643,193.04,109.769264,15
Buster Davis,2007,g5,5.86536363480485,175.26,108.408488,24
Dre Moore,2008,g4,-27.4749612601341,193.04,138.34556,31
Ricky Henry,2011,g4,-28.183303645876,190.5,139.706336,20
Nick Vannett,2016,g5,-7.56923847720715,198.12,116.573144,17
Anthony Floyd,2003,g6,22.1533256925048,175.26,91.625584,19
Anthony McCoy,2010,g5,-7.22506248569636,193.04,117.480328,19
T.J. Green,2016,g6,16.0103034247441,187.96,94.800728,13
Carroll Phillips,2017,g5,0.870898943534681,190.5,109.769264,23
Shaud Williams,2004,g6,27.3398687822507,170.18,87.543256,15
Pearce Slater,2016,g4,-39.8770353976137,200.66,149.231768,17
Jarron Gilbert,2009,g5,-20.6036062039112,195.58,130.634496,28
Duane Brown,2008,g4,-31.8771131676206,193.04,142.88148,24
Grant Haley,2018,g6,27.4359079814886,175.26,86.18248,15
Chris Slayton,2019,g4,-28.3553916416314,193.04,139.252744,28
Chris Bell,2010,g6,15.1298730432468,187.96,95.707912,15
Chad Ward,2001,g4,-34.5184043121124,193.04,145.603032,26
Justin Simmons,2016,g6,19.0918097599846,187.96,91.625584,16
Eugene Wilson,2003,g6,25.9431744134872,177.8,87.089664,15
Marcus Howard,2008,g5,4.90888445679002,182.88,107.501304,27
Eric King,2005,g6,28.4884263587412,172.72,85.728888,12
Dave Minnich,2002,g6,13.8852762675184,180.34,98.883056,12
Taylor Hart,2014,g5,-18.1344030551747,198.12,127.459352,21
Parris Campbell,2019,g6,18.9957705607467,182.88,92.98636,11
Hunter Renfrow,2019,g6,29.4648959394764,177.8,83.460928,7
Greg Lloyd,2011,g5,0.334644553548169,185.42,111.583632,22
Anthony Walker Jr.,2017,g5,3.85636607953733,185.42,107.954896,23
Kevin Peterson,2016,g6,30.7855415117223,177.8,82.100152,14
Sammy Davis,2003,g6,27.359859184971,182.88,84.368112,19
Marcel Jones,2012,g4,-35.3027954943719,198.12,145.14944,13
Patrick Peterson,2011,g6,12.8327578902657,182.88,99.336648,15
Joey Chustz,2000,g4,-28.8716556288976,200.66,137.891968,28
Jason Hatcher,2006,g5,-19.4550486274206,198.12,128.820128,28
Vladimir Ducasse,2010,g4,-39.3607714103476,193.04,150.592544,29
Brandon Burton,2011,g6,25.5989984219764,182.88,86.18248,18
Yetur Gross-Matos,2020,g4,-10.9188720074409,195.58,120.655472,20
Matt Shaughnessy,2009,g5,-10.9188720074409,195.58,120.655472,24
Parry Nickerson,2018,g6,30.0011503294629,182.88,81.64656,15
Roy Miller,2009,g4,-27.8391276543652,185.42,140.61352,36
Jarius Wright,2012,g6,30.3453263209737,177.8,82.553744,11
Carl Johnson,2011,g4,-52.7393151285624,195.58,163.746712,25
Cols Colas,2004,g5,6.66974521978461,182.88,105.686936,22
Travis Beckum,2009,g5,0.430683752786034,190.5,110.222856,28
