Player,Pos,School,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,ano,altura,peso,GPos40,GPosBench,GPosBJ,GPos3CONE,cp1
Rameel Connor,DE,Illinois,5,90.17,25,307.34,7.65,4.45,2000,190.5,125.191392,g2,g5,g8,g11,-14.0964175419193
D.J. Cooper,DT,Arkansas,5.22,71.12,,274.32,7.41,4.49,2000,190.5,125.644984,g1,g4,g9,g10,-14.536632732668
Ashley Cooper,S,Mississippi State,4.67,,16,297.18,,,2000,177.8,94.347136,g3,g6,g7,g12,18.8997313615089
Renard Cox,CB,Maryland,4.68,96.52,13,281.94,7.1,,2000,180.34,87.089664,g3,g6,g7,g12,25.3308712269832
Casey Crawford,TE,Virginia,4.83,,18,,,,2000,198.12,110.676448,g2,g5,g8,g11,-1.84644099747473
Sedrick Curry,CB,Texas A&M,4.44,99.06,,317.5,6.34,3.94,2000,185.42,89.357624,g3,g6,g7,g12,21.9051889002319
Chris Daniels,WR,Purdue,4.74,83.82,,292.1,7.2,4.24,2000,190.5,98.429464,g3,g6,g7,g12,11.8762787122508
Brandon Daniels,WR,Oklahoma,4.54,,,,,,2000,177.8,95.707912,g3,g6,g7,g12,17.5790857892629
Joe Dean Davenport,TE,Arkansas,5.06,76.2,13,274.32,7.33,4.67,2000,200.66,121.562656,g2,g5,g8,g11,-13.0239087619463
Darren Davis,RB,Iowa State,4.81,81.28,13,276.86,7.04,4.47,2000,172.72,85.728888,g3,g6,g8,g11,28.4884263587412
Adam Davis,OG,Oklahoma State,5.66,66.04,,233.68,8.51,5,2000,193.04,140.159928,g1,g4,g9,g10,-29.2358220231287
JaJuan Dawson,WR,Tulane,4.55,86.36,,297.18,6.96,4.16,2000,185.42,90.264808,g3,g6,g7,g12,21.0247585187346
Ron Dayne,RB,Wisconsin,4.65,,,,,,2000,180.34,117.480328,g3,g6,g8,g11,-4.16354655317616
Jerry DeLoach,DT,California,4.99,80.01,19,256.54,7.4,4.57,2000,190.5,142.427888,g1,g4,g9,g10,-30.8245947903679
