Player,Pos,School,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,ano,altura,peso,GPos40,GPosBench,GPosBJ,GPos3CONE,cp1
Stafon Johnson,RB,USC,4.62,90.17,13,299.72,,,2010,180.34,97.068688,g3,g6,g8,g11,15.6461370305129
Kyle Jolly,OT,North Carolina,5.36,54.61,20,226.06,7.89,4.87,2010,198.12,141.067112,g1,g4,g9,g10,-31.3408587776341
Arthur Jones,DT,Syracuse,5.04,,,,,,2010,190.5,136.531192,g1,g4,g9,g10,-25.1017973106355
Donald Jones,WR,Youngstown State,4.46,104.14,20,302.26,6.9,4.2,2010,182.88,97.068688,g3,g6,g7,g12,15.0338338440089
Reshad Jones,S,Georgia,4.51,100.33,24,299.72,7.43,4.54,2010,185.42,97.068688,g3,g6,g7,g12,14.4215306575049
Chad Jones,S,LSU,4.59,91.44,9,292.1,6.83,4.14,2010,187.96,100.243832,g3,g6,g7,g12,10.7277211357603
Linval Joseph,DT,East Carolina,5.09,76.2,39,254,8.12,4.71,2010,193.04,148.778176,g1,g4,g9,g10,-37.599910647353
Kevin Jurovich,WR,San Jose State,4.45,,14,,,,2010,180.34,85.275296,g3,g6,g7,g12,27.0917319899778
Sergio Kindle,OLB,Texas,4.65,92.71,25,299.72,7.26,4.53,2010,190.5,113.398,g2,g5,g8,g11,-2.6508225824545
Jammie Kirlew,DE,Indiana,5.05,83.82,26,281.94,7.5,4.74,2010,185.42,117.93392,g2,g5,g8,g11,-5.82836811693289
Matt Kopa,OT,Stanford,5.14,,,,,,2010,198.12,136.0776,g1,g4,g9,g10,-26.498491679399
Keaton Kristick,OLB,Oregon State,4.7,86.36,16,304.8,6.96,4.21,2010,190.5,106.140528,g2,g5,g8,g11,4.39262046952384
Brandon LaFell,WR,LSU,4.58,91.44,,292.1,6.81,4.23,2010,187.96,95.707912,g3,g6,g7,g12,15.1298730432468
Brandon Lang,DE,Troy,5,72.39,20,264.16,,4.68,2010,193.04,120.655472,g2,g5,g8,g11,-10.3065688209369
Ted Larsen,C,North Carolina State,5.19,60.96,26,243.84,7.81,4.66,2010,190.5,137.891968,g1,g4,g9,g10,-26.4224428828814
Shawn Lauvao,OG,Arizona State,5.22,67.31,33,256.54,7.56,4.51,2010,190.5,142.88148,g1,g4,g9,g10,-31.2648099811166
Simoni Lawrence,OLB,Minnesota,4.59,101.6,21,312.42,7.3,4.43,2010,182.88,105.233344,g2,g5,g8,g11,7.10996041053326
Boris Lee,ILB,Troy,4.94,82.55,27,284.48,,,2010,182.88,107.954896,g2,g5,g8,g11,4.46866926604138
Sean Lee,ILB,Penn State,4.71,95.25,24,304.8,,,2010,187.96,107.047712,g2,g5,g8,g11,4.12449327453059
Kendrick Lewis,S,Mississippi,4.73,80.01,16,294.64,6.88,4.33,2010,182.88,89.811216,g3,g6,g7,g12,22.0772768959873
Myron Lewis,S,Vanderbilt,4.42,93.98,10,320.04,,,2010,187.96,92.079176,g3,g6,g7,g12,18.6515945692359
Trevard Lindley,CB,Kentucky,4.51,97.79,9,294.64,6.81,4.27,2010,180.34,83.007336,g3,g6,g7,g12,29.292807943721
Scott Long,WR,Louisville,4.46,105.41,20,312.42,6.45,4.09,2010,187.96,97.975872,g3,g6,g7,g12,12.9287970895035
Erik Lorig,DE,Stanford,4.86,,,,,,2010,190.5,127.459352,g2,g5,g8,g11,-16.2974934956625
Darius Marshall,RB,Marshall,4.59,90.17,14,276.86,,4.39,2010,175.26,86.18248,g3,g6,g8,g11,27.4359079814886
Jeron Mastrud,TE,Kansas State,4.82,,,,,,2010,195.58,116.119552,g2,g5,g8,g11,-6.51672009995446
Ryan Mathews,RB,Fresno State,4.37,91.44,19,307.34,7,4.33,2010,182.88,98.883056,g3,g6,g8,g11,13.2729730810143
Sam Maxwell,OLB,Kentucky,4.98,83.82,,274.32,7.37,4.52,2010,187.96,111.583632,g2,g5,g8,g11,-0.27765863295587
Taylor Mays,S,USC,4.31,104.14,24,317.5,,,2010,190.5,104.32616,g3,g6,g7,g12,6.15348123251843
Kyle McCarthy,S,Notre Dame,4.58,86.36,24,297.18,6.74,4.13,2010,182.88,92.98636,g3,g6,g7,g12,18.9957705607467
Rolando McClain,ILB,Alabama,4.68,,24,,,,2010,190.5,115.212368,g2,g5,g8,g11,-4.41168334544909
Albert McClellan,ILB,Marshall,4.75,92.71,26,302.26,7.24,4.21,2010,185.42,112.037224,g2,g5,g8,g11,-0.105570637200479
Dexter McCluster,WR,Mississippi,4.53,95.25,20,299.72,,4.06,2010,175.26,78.017824,g3,g6,g7,g12,35.3597814149642
Devin McCourty,CB,Rutgers,4.38,91.44,16,320.04,6.7,4.07,2010,180.34,87.543256,g3,g6,g7,g12,24.8906560362345
Anthony McCoy,TE,USC,4.71,90.17,19,287.02,6.99,4.57,2010,193.04,117.480328,g2,g5,g8,g11,-7.22506248569636
Gerald McCoy,DT,Oklahoma,5.04,77.47,23,289.56,7.32,4.48,2010,193.04,133.80964,g1,g4,g9,g10,-23.0728093526476
Chris McGaha,WR,Arizona State,4.52,101.6,19,309.88,,4.21,2010,185.42,91.171992,g3,g6,g7,g12,20.1443281372373
Joe McKnight,RB,USC,4.4,92.71,18,304.8,,,2010,180.34,89.811216,g3,g6,g8,g11,22.6895800824913
Mike McLaughlin,ILB,Boston Col.,4.84,97.79,29,289.56,6.85,4.11,2010,182.88,109.769264,g2,g5,g8,g11,2.7078085030468
Sherrick McManis,CB,Northwestern,4.48,,,,,,2010,180.34,88.45044,g3,g6,g7,g12,24.0102256547372
Shawnbrey McNeal,RB,SMU,4.53,91.44,14,297.18,,,2010,175.26,87.996848,g3,g6,g8,g11,25.675047218494
Kerry Meier,WR,Kansas,4.62,88.9,13,292.1,,4.23,2010,187.96,101.604608,g3,g6,g7,g12,9.40707556351436
Greg Middleton,DE,Indiana,4.96,96.52,,294.64,7.65,4.69,2010,190.5,121.562656,g2,g5,g8,g11,-10.5746960159301
Lonyae Miller,RB,Fresno State,4.43,92.71,26,304.8,7.2,4.54,2010,180.34,100.243832,g3,g6,g8,g11,12.5646306952724
Brandon Minor,RB,Michigan,4.59,,,,,,2010,182.88,97.068688,g3,g6,g8,g11,15.0338338440089
Koa Misi,OLB,Utah,4.75,96.52,,322.58,7.07,4.27,2010,190.5,113.851592,g2,g5,g8,g11,-3.09103777320314
Carlton Mitchell,WR,South Florida,4.46,91.44,16,309.88,6.96,4.55,2010,190.5,97.52228,g3,g6,g7,g12,12.7567090937481
Earl Mitchell,DT,Arizona,4.75,72.39,25,271.78,7.68,4.55,2010,187.96,134.263232,g1,g4,g9,g10,-22.2884181703882
Arthur Moats,OLB,James Madison,4.64,92.71,24,309.88,7.22,4.37,2010,182.88,111.583632,g2,g5,g8,g11,0.946947740052213
Tony Moeaki,TE,Iowa,4.69,86.36,18,287.02,7.1,4.42,2010,190.5,111.13004,g2,g5,g8,g11,-0.449746628711261
Joshua Moore,CB,Kansas State,4.5,92.71,2,309.88,6.74,4.07,2010,180.34,85.275296,g3,g6,g7,g12,27.0917319899778
Derrick Morgan,DE,Georgia Tech,4.77,86.36,,284.48,7.12,4.43,2010,190.5,120.655472,g2,g5,g8,g11,-9.69426563443285
Roddrick Muckelroy,OLB,Texas,4.68,78.74,19,279.4,7.25,4.39,2010,187.96,111.583632,g2,g5,g8,g11,-0.27765863295587
Aleric Mullins,DT,North Carolina,4.95,,,,,,2010,185.42,145.603032,g1,g4,g9,g10,-32.6814947526003
Jerome Murphy,CB,South Florida,4.5,96.52,16,322.58,6.87,4.05,2010,182.88,88.904032,g3,g6,g7,g12,22.9577072774845
Mike Neal,DT,Purdue,4.87,83.82,31,287.02,7.53,4.53,2010,190.5,133.356048,g1,g4,g9,g10,-22.0202909753949
Marshall Newhouse,OG,TCU,4.99,63.5,25,246.38,7.4,4.6,2010,193.04,144.695848,g1,g4,g9,g10,-33.6379739306152
Eric Norwood,OLB,South Carolina,4.71,92.71,,292.1,7.08,4.23,2010,185.42,111.13004,g2,g5,g8,g11,0.774859744296816
Jared Odrick,DT,Penn State,5.03,73.66,26,269.24,7.22,4.59,2010,195.58,137.891968,g1,g4,g9,g10,-27.6470492558895
Vince Oghobaase,DT,Duke,5.46,66.04,27,228.6,7.84,,2010,195.58,137.438376,g1,g4,g9,g10,-27.2068340651409
Russell Okung,OT,Oklahoma State,5.18,,38,,,,2010,195.58,139.252744,g1,g4,g9,g10,-28.9676948281355
Eric Olsen,C,Notre Dame,5.25,74.93,35,236.22,7.5,4.82,2010,193.04,138.799152,g1,g4,g9,g10,-27.9151764508828
Jeff Owens,DT,Georgia,4.97,76.2,44,256.54,,4.68,2010,185.42,137.891968,g1,g4,g9,g10,-25.1978365098733
Akwasi Owusu-Ansah,CB,Indiana (PA),4.32,90.17,,304.8,6.84,4.32,2010,182.88,93.893544,g3,g6,g7,g12,18.1153401792494
Preston Parker,WR,Florida State,4.59,88.9,16,297.18,,4.16,2010,180.34,90.264808,g3,g6,g7,g12,22.2493648917426
Alex Parsons,OG,USC,5.12,68.58,23,251.46,,,2010,193.04,140.159928,g1,g4,g9,g10,-29.2358220231287
Pat Paschall,RB,North Dakota State,4.65,97.79,15,299.72,7.02,4.33,2010,182.88,94.800728,g3,g6,g8,g11,17.2349097977521
Colin Peek,TE,Alabama,4.93,,19,,,,2010,195.58,115.212368,g2,g5,g8,g11,-5.63628971845717
Cole Pemberton,OT,Colorado State,5.37,57.15,18,243.84,7.65,4.77,2010,200.66,142.88148,g1,g4,g9,g10,-33.7140227271327
David Pender,CB,Purdue,4.37,99.06,8,314.96,,,2010,182.88,81.64656,g3,g6,g7,g12,30.0011503294629
Jared Perry,WR,Missouri,4.51,85.09,11,307.34,6.75,4.39,2010,185.42,80.739376,g3,g6,g7,g12,30.2692775244562
Corey Peters,DT,Kentucky,4.98,83.82,,248.92,7.56,4.76,2010,190.5,136.0776,g1,g4,g9,g10,-24.6615821198868
Mitch Petrus,OG,Arkansas,5.34,,45,,,,2010,190.5,140.61352,g1,g4,g9,g10,-29.0637340273733
Jason Pierre-Paul,DE,South Florida,4.71,77.47,19,292.1,7.18,4.67,2010,195.58,122.46984,g2,g5,g8,g11,-12.6797327704355
Josh Pinkard,S,USC,4.58,,,,,,2010,185.42,97.068688,g3,g6,g7,g12,14.4215306575049
Dennis Pitta,TE,BYU,4.68,86.36,27,287.02,6.72,4.17,2010,193.04,111.13004,g2,g5,g8,g11,-1.0620498152153
Nick Polk,S,Indiana,4.55,96.52,14,307.34,,,2010,180.34,95.707912,g3,g6,g7,g12,16.9667826027589
Maurkice Pouncey,C,Florida,5.25,,,241.3,7.74,4.92,2010,193.04,137.891968,g1,g4,g9,g10,-27.0347460693855
Brian Price,DT,UCLA,5.12,72.39,34,243.84,,,2010,185.42,137.438376,g1,g4,g9,g10,-24.7576213191247
Taylor Price,WR,Ohio,4.4,93.98,16,289.56,6.82,4.34,2010,182.88,92.532768,g3,g6,g7,g12,19.4359857514954
Andrew Quarless,TE,Penn State,4.68,81.28,23,284.48,,,2010,193.04,115.212368,g2,g5,g8,g11,-5.02398653195312
David Reed,WR,Utah,4.56,93.98,15,289.56,6.95,4.38,2010,182.88,86.636072,g3,g6,g7,g12,25.1587832312278
Dace Richardson,OG,Iowa,5.76,59.69,19,220.98,8.58,5.38,2010,195.58,145.14944,g1,g4,g9,g10,-34.6904923078679
Perry Riley,OLB,LSU,4.69,90.17,,302.26,6.97,4.25,2010,185.42,108.408488,g2,g5,g8,g11,3.41615088878869
Andre Roberts,WR,Citadel,4.4,91.44,15,304.8,6.77,4.15,2010,180.34,88.45044,g3,g6,g7,g12,24.0102256547372
Patrick Robinson,CB,Florida State,4.46,99.06,15,309.88,6.78,,2010,180.34,86.18248,g3,g6,g7,g12,26.2113016084805
Dennis Rogan,S,Tennessee,4.73,96.52,,299.72,,4.1,2010,175.26,83.91452,g3,g6,g7,g12,29.6369839352318
Myron Rolle,S,Florida State,4.59,91.44,21,314.96,6.94,4.15,2010,187.96,97.52228,g3,g6,g7,g12,13.3690122802522
Devin Ross,CB,Arizona,4.64,101.6,16,302.26,7.07,,2010,177.8,83.007336,g3,g6,g7,g12,29.905111130225
Jay Ross,DT,East Carolina,5.1,81.28,30,254,7.83,4.64,2010,190.5,141.974296,g1,g4,g9,g10,-30.3843795996193
Rodger Saffold,OT,Indiana,5.21,74.93,27,287.02,7.42,4.67,2010,195.58,143.335072,g1,g4,g9,g10,-32.9296315448733
Emmanuel Sanders,WR,SMU,4.4,100.33,12,320.04,6.64,4.1,2010,180.34,84.368112,g3,g6,g7,g12,27.9721623714751
Ricky Sapp,OLB,Clemson,4.65,86.36,23,289.56,7.29,4.41,2010,193.04,114.305184,g2,g5,g8,g11,-4.14355615045583
O'Brien Schofield,OLB,Wisconsin,4.63,,,,,,2010,187.96,100.243832,g2,g5,g8,g11,10.7277211357603
Charles Scott,RB,LSU,4.68,77.47,,281.94,6.98,4.47,2010,180.34,107.954896,g3,g6,g8,g11,5.08097245254542
Chris Scott,OG,Tennessee,5.52,57.15,19,228.6,8.24,5.03,2010,195.58,144.695848,g1,g4,g9,g10,-34.2502771171192
George Selvie,DE,South Florida,4.93,77.47,24,276.86,7.48,4.63,2010,193.04,114.305184,g2,g5,g8,g11,-4.14355615045583
Darryl Sharpton,ILB,Miami (FL),4.81,,24,,7.19,4.42,2010,180.34,107.047712,g2,g5,g8,g11,5.96140283404271
Cameron Sheffield,OLB,Troy,4.92,83.82,,292.1,7.23,4.53,2010,187.96,116.573144,g2,g5,g8,g11,-5.12002573119099
Malcolm Sheppard,DT,Arkansas,5.11,71.12,19,254,7.81,4.78,2010,187.96,129.27372,g1,g4,g9,g10,-17.4460510721531
Jordan Shipley,WR,Texas,4.6,92.71,16,294.64,,,2010,180.34,87.543256,g3,g6,g7,g12,24.8906560362345
D'Anthony Smith,DT,Louisiana Tech,5.01,,,,,,2010,187.96,137.891968,g1,g4,g9,g10,-25.8101396963774
Shelley Smith,OG,Colorado State,5.03,86.36,26,284.48,7.67,4.71,2010,190.5,136.0776,g1,g4,g9,g10,-24.6615821198868
Amari Spievey,CB,Iowa,4.52,88.9,,294.64,,,2010,180.34,88.45044,g3,g6,g7,g12,24.0102256547372
Brandon Spikes,ILB,Florida,5.05,73.66,,281.94,6.97,,2010,190.5,112.944408,g2,g5,g8,g11,-2.21060739170585
C.J. Spiller,RB,Clemson,4.37,,18,,,,2010,180.34,88.904032,g3,g6,g8,g11,23.5700104639886
James Starks,RB,Buffalo,4.5,91.44,15,302.26,6.89,4.23,2010,187.96,98.883056,g3,g6,g8,g11,12.0483667080062
Darian Stewart,S,South Carolina,4.53,93.98,12,309.88,,4.32,2010,180.34,96.615096,g3,g6,g7,g12,16.0863522212616
Darrell Stuckey,S,Kansas,4.46,100.33,17,304.8,,,2010,180.34,92.98636,g3,g6,g7,g12,19.6080737472508
Ndamukong Suh,DT,Nebraska,5.03,90.17,32,266.7,7.21,4.44,2010,193.04,139.252744,g1,g4,g9,g10,-28.3553916416314
Stevenson Sylvester,OLB,Utah,4.71,,23,,,,2010,187.96,104.779752,g2,g5,g8,g11,6.32556922827382
Ben Tate,RB,Auburn,4.34,102.87,26,314.96,6.91,4.12,2010,180.34,99.79024,g3,g6,g8,g11,13.0048458860211
Golden Tate,WR,Notre Dame,4.42,88.9,17,304.8,7.12,4.34,2010,177.8,90.264808,g3,g6,g7,g12,22.8616680782467
Daniel Te'o-Nesheim,DE,Washington,4.73,93.98,29,307.34,6.91,4.18,2010,190.5,119.294696,g2,g5,g8,g11,-8.37362006218691
Matt Tennant,C,Boston Col.,5.15,63.5,27,248.92,7.6,4.62,2010,195.58,136.0776,g1,g4,g9,g10,-25.8861884928949
Mike Tepper,OG,California,5.31,67.31,28,238.76,7.95,5.25,2010,195.58,146.963808,g1,g4,g9,g10,-36.4513530708624
Cam Thomas,DT,North Carolina,5.16,73.66,31,259.08,7.68,4.78,2010,193.04,149.68536,g1,g4,g9,g10,-38.4803410288503
Demaryius Thomas,WR,Georgia Tech,4.52,,,,,,2010,190.5,101.604608,g3,g6,g7,g12,8.79477237701032
Earl Thomas,CB,Texas,4.43,,21,287.02,,,2010,177.8,94.347136,g3,g6,g7,g12,18.8997313615089
Kevin Thomas,CB,USC,4.41,87.63,19,320.04,6.82,4.18,2010,182.88,87.089664,g3,g6,g7,g12,24.7185680404791
Syd'Quan Thompson,CB,California,4.75,83.82,,297.18,6.73,4.26,2010,175.26,84.368112,g3,g6,g7,g12,29.1967687444831
Walter Thurmond,CB,Oregon,4.53,,,,,,2010,180.34,85.728888,g3,g6,g7,g12,26.6515167992291
Keith Toston,RB,Oklahoma State,4.66,81.28,22,279.4,,4.67,2010,182.88,96.615096,g3,g6,g8,g11,15.4740490347576
Adrian Tracy,OLB,William & Mary,4.76,90.17,20,279.4,7.08,4.34,2010,190.5,112.490816,g2,g5,g8,g11,-1.7703922009572
Nate Triplett,OLB,Minnesota,4.7,83.82,20,292.1,7.02,4.37,2010,190.5,113.398,g2,g5,g8,g11,-2.6508225824545
Torell Troup,DT,Central Florida,5.12,73.66,34,248.92,7.61,4.73,2010,190.5,142.427888,g1,g4,g9,g10,-30.8245947903679
Verran Tucker,WR,California,4.65,,,,,,2010,187.96,90.7184,g3,g6,g7,g12,19.9722401414819
Adam Ulatoski,OG,Texas,5.52,66.04,24,238.76,7.98,4.99,2010,195.58,136.0776,g1,g4,g9,g10,-25.8861884928949
Jared Veldheer,OT,Hillsdale,5.06,85.09,32,276.86,7.4,4.51,2010,203.2,141.520704,g1,g4,g9,g10,-33.0056803413908
Alterraun Verner,CB,UCLA,4.52,81.28,11,294.64,6.7,4.12,2010,177.8,85.728888,g3,g6,g7,g12,27.2638199857332
Stephan Virgil,CB,Virginia Tech,4.69,86.36,12,287.02,7.11,4.35,2010,180.34,83.007336,g3,g6,g7,g12,29.292807943721
Jamar Wall,CB,Texas Tech,4.52,,15,,,,2010,177.8,92.532768,g3,g6,g7,g12,20.6605921245034
J.D. Walton,C,Baylor,5.19,68.58,24,256.54,7.6,4.69,2010,190.5,136.0776,g1,g4,g9,g10,-24.6615821198868
Ed Wang,OT,Virginia Tech,5.18,68.58,29,243.84,,4.7,2010,195.58,142.427888,g1,g4,g9,g10,-32.049201163376
T.J. Ward,S,Oregon,4.56,86.36,19,307.34,,,2010,177.8,95.707912,g3,g6,g7,g12,17.5790857892629
Donovan Warren,S,Michigan,4.62,,12,287.02,,,2010,180.34,87.543256,g3,g6,g7,g12,24.8906560362345
Lorenzo Washington,DT,Alabama,5.21,76.2,25,271.78,7.4,4.68,2010,193.04,131.995272,g1,g4,g9,g10,-21.3119485896531
Daryl Washington,OLB,TCU,4.58,78.74,17,289.56,,,2010,187.96,104.32616,g2,g5,g8,g11,6.76578441902247
Tony Washington,OT,Appalachian State,5.25,74.93,33,289.56,7.52,4.84,2010,198.12,141.067112,g1,g4,g9,g10,-31.3408587776341
Dekoda Watson,OLB,Florida State,4.55,101.6,24,340.36,7.06,4.11,2010,185.42,108.86208,g2,g5,g8,g11,2.97593569804005
Sean Weatherspoon,OLB,Missouri,4.62,101.6,34,312.42,6.99,4.38,2010,185.42,108.408488,g2,g5,g8,g11,3.41615088878869
Thomas Welch,OT,Vanderbilt,5.42,73.66,29,266.7,7.67,4.8,2010,198.12,139.252744,g1,g4,g9,g10,-29.5799980146395
Chastin West,WR,Fresno State,4.59,85.09,15,287.02,,,2010,182.88,96.161504,g3,g6,g7,g12,15.9142642255062
Blair White,WR,Michigan State,4.49,85.09,18,292.1,6.69,4.03,2010,187.96,94.800728,g3,g6,g7,g12,16.0103034247441
Jeremy Williams,WR,Tulane,4.59,91.44,14,297.18,6.73,,2010,182.88,93.439952,g3,g6,g7,g12,18.5555553699981
Damian Williams,WR,USC,4.52,96.52,19,299.72,6.79,4.24,2010,185.42,89.357624,g3,g6,g7,g12,21.9051889002319
Dan Williams,DT,Tennessee,5.19,81.28,27,243.84,7.88,4.87,2010,187.96,148.324584,g1,g4,g9,g10,-35.9350890835963
Keiland Williams,RB,LSU,4.52,,,,,,2010,180.34,105.686936,g3,g6,g8,g11,7.28204840628865
Kyle Williams,WR,Arizona State,4.4,83.82,11,299.72,7,4.19,2010,177.8,85.275296,g3,g6,g7,g12,27.7040351764818
Mike Williams,WR,Syracuse,4.53,85.09,8,294.64,6.9,4.31,2010,185.42,100.243832,g3,g6,g7,g12,11.3400243222643
Stephen Williams,WR,Toledo,4.5,92.71,15,317.5,6.81,4.11,2010,193.04,95.25432,g3,g6,g7,g12,14.3454818609873
Trent Williams,OT,Oklahoma,4.81,87.63,23,287.02,7.64,4.63,2010,195.58,142.88148,g1,g4,g9,g10,-32.4894163541246
C.J. Wilson,DE,East Carolina,4.83,83.82,32,294.64,,4.77,2010,190.5,131.54168,g2,g5,g8,g11,-20.2594302124004
E.J. Wilson,DE,North Carolina,4.97,74.93,23,,,,2010,187.96,129.727312,g2,g5,g8,g11,-17.8862662629018
Kion Wilson,ILB,South Florida,4.87,92.71,27,312.42,,4.53,2010,182.88,108.408488,g2,g5,g8,g11,4.02845407529273
Kyle Wilson,CB,Boise State,4.43,,25,,,,2010,177.8,87.996848,g3,g6,g7,g12,25.0627440319899
Lindsey Witten,DE,Connecticut,4.7,92.71,23,292.1,7.32,4.62,2010,193.04,113.398,g2,g5,g8,g11,-3.26312576895853
Ryan Wolfe,WR,UNLV,4.65,,13,,,,2010,185.42,92.98636,g3,g6,g7,g12,18.3834673742427
Justin Woodall,S,Alabama,4.64,86.36,13,299.72,6.88,4.17,2010,185.42,101.151016,g3,g6,g7,g12,10.459593940767
Al Woods,DT,LSU,5.15,93.98,,276.86,7.45,4.67,2010,193.04,140.159928,g1,g4,g9,g10,-29.2358220231287
Corey Wootton,DE,Northwestern,4.92,,20,,,,2010,198.12,122.46984,g2,g5,g8,g11,-13.2920359569396
Jason Worilds,OLB,Virginia Tech,4.65,96.52,24,289.56,6.95,4.29,2010,185.42,115.212368,g2,g5,g8,g11,-3.18707697244101
Doug Worthington,DT,Ohio State,5.02,,19,,,,2010,195.58,132.448864,g1,g4,g9,g10,-22.3644669669057
Major Wright,S,Florida,4.44,95.25,14,302.26,6.95,4.36,2010,180.34,93.439952,g3,g6,g7,g12,19.1678585565021
Sam Young,OT,Notre Dame,5.2,74.93,29,264.16,7.73,4.87,2010,203.2,143.335072,g1,g4,g9,g10,-34.7665411043854
Willie Young,DE,North Carolina State,4.88,96.52,25,299.72,7.24,4.56,2010,195.58,113.851592,g2,g5,g8,g11,-4.31564414621123
Sam Acho,OLB,Texas,4.67,85.09,23,284.48,6.69,4.32,2011,187.96,118.841104,g2,g5,g8,g11,-7.32110168493423
Darvin Adams,WR,Auburn,4.56,,,,,,2011,187.96,86.18248,g3,g6,g7,g12,24.3743920489684
Ladi Ajiboye,DT,South Carolina,5.3,60.96,23,231.14,7.72,4.71,2011,185.42,134.716824,g1,g4,g9,g10,-22.1163301746328
Anthony Allen,RB,Georgia Tech,4.56,105.41,24,304.8,6.79,4.06,2011,185.42,103.418976,g3,g6,g8,g11,8.2585179870238
Armando Allen,RB,Notre Dame,4.59,,23,,,,2011,172.72,90.264808,g3,g6,g8,g11,24.0862744512548
Cortez Allen,CB,Citadel,4.5,90.17,18,327.66,6.76,4.01,2011,185.42,89.357624,g3,g6,g7,g12,21.9051889002319
Pierre Allen,DE,Nebraska,4.78,,,,,,2011,190.5,123.830616,g2,g5,g8,g11,-12.7757719696734
Prince Amukamara,CB,Nebraska,4.38,96.52,15,325.12,6.97,4.08,2011,182.88,93.439952,g3,g6,g7,g12,18.5555553699981
David Arkin,OG,Missouri State,5.31,73.66,25,261.62,7.6,4.63,2011,195.58,136.0776,g1,g4,g9,g10,-25.8861884928949
Matt Asiata,RB,Utah,4.77,76.2,22,264.16,7.09,4.37,2011,180.34,103.872568,g3,g6,g8,g11,9.04290916928324
Marvin Austin,DT,North Carolina,4.84,77.47,38,284.48,7.33,4.4,2011,187.96,140.159928,g1,g4,g9,g10,-28.0112156501206
Akeem Ayers,OLB,UCLA,4.81,78.74,18,294.64,7.49,4.28,2011,187.96,115.212368,g2,g5,g8,g11,-3.79938015894505
Allen Bailey,DE,Miami (FL),4.71,92.71,27,297.18,7.43,4.56,2011,190.5,129.27372,g2,g5,g8,g11,-18.0583542586571
Brandon Bair,DE,Oregon,4.92,71.12,26,289.56,7.07,4.37,2011,198.12,125.191392,g2,g5,g8,g11,-15.9333271014314
Jon Baldwin,WR,Pittsburgh,4.49,106.68,20,327.66,7.07,4.34,2011,193.04,103.418976,g3,g6,g7,g12,6.42160842751169
Christian Ballard,DE,Iowa,4.75,80.01,,281.94,7.54,4.51,2011,193.04,128.366536,g2,g5,g8,g11,-17.7902270636639
Joe Barksdale,OT,LSU,5.31,73.66,29,261.62,8.27,4.75,2011,195.58,147.4174,g1,g4,g9,g10,-36.8915682616111
Ryan Bartholomew,C,Syracuse,4.93,67.31,34,233.68,7.62,4.62,2011,185.42,136.984784,g1,g4,g9,g10,-24.317406128376
Jeremy Beal,DE,Oklahoma,5.14,72.39,22,269.24,7.19,4.46,2011,187.96,118.841104,g2,g5,g8,g11,-7.32110168493423
Nick Bellore,ILB,Central Michigan,4.84,82.55,23,276.86,6.98,4,2011,185.42,111.13004,g2,g5,g8,g11,0.774859744296816
Damien Berry,RB,Miami (FL),4.58,85.09,23,304.8,7,4.12,2011,177.8,95.707912,g3,g6,g8,g11,17.5790857892629
Armon Binns,WR,Cincinnati,4.5,80.01,13,299.72,6.86,4.31,2011,190.5,94.800728,g3,g6,g7,g12,15.39800023824
Ahmad Black,S,Florida,4.7,90.17,18,302.26,6.85,4.2,2011,175.26,83.460928,g3,g6,g7,g12,30.0771991259804
Clint Boling,OG,Georgia,5.28,78.74,28,259.08,7.66,4.64,2011,195.58,139.706336,g1,g4,g9,g10,-29.4079100188841
Justin Boren,OG,Ohio State,5.4,,28,,7.57,4.75,2011,190.5,140.159928,g1,g4,g9,g10,-28.6235188366247
Da'Quan Bowers,DE,Clemson,4.92,,22,,,,2011,190.5,127.00576,g2,g5,g8,g11,-15.8572783049139
Allen Bradford,RB,USC,4.53,73.66,28,287.02,6.97,4.39,2011,180.34,109.769264,g3,g6,g8,g11,3.32011168955084
James Brewer,OT,Indiana,5.21,66.04,25,254,7.84,4.81,2011,198.12,146.510216,g1,g4,g9,g10,-36.6234410666178
Niles Brinkley,CB,Wisconsin,4.54,85.09,15,304.8,7.23,,2011,175.26,87.543256,g3,g6,g7,g12,26.1152624092426
DeAndre Brown,WR,Southern Miss,4.59,73.66,20,297.18,6.93,4.33,2011,198.12,105.686936,g3,g6,g7,g12,2.99592610076037
Chykie Brown,CB,Texas,4.49,92.71,,304.8,6.5,4,2011,180.34,86.18248,g3,g6,g7,g12,26.2113016084805
Curtis Brown,CB,Texas,4.51,100.33,10,325.12,6.59,4,2011,182.88,83.91452,g3,g6,g7,g12,27.8000743757197
Jalil Brown,CB,Colorado,4.52,90.17,24,294.64,6.85,4.25,2011,185.42,92.532768,g3,g6,g7,g12,18.8236825649913
Vincent Brown,WR,San Diego State,4.68,85.09,12,307.34,6.64,4.25,2011,180.34,84.821704,g3,g6,g7,g12,27.5319471807264
Kendric Burney,CB,North Carolina,4.71,82.55,14,284.48,,,2011,175.26,84.368112,g3,g6,g7,g12,29.1967687444831
Brandon Burton,CB,Utah,4.5,81.28,18,299.72,6.93,4.07,2011,182.88,86.18248,g3,g6,g7,g12,25.5989984219764
Stephen Burton,WR,West Texas A&M,4.5,87.63,19,297.18,7.04,4.31,2011,185.42,100.243832,g3,g6,g7,g12,11.3400243222643
Mario Butler,CB,Georgia Tech,4.65,77.47,,304.8,7.09,4.37,2011,182.88,82.553744,g3,g6,g7,g12,29.1207199479656
